state_fips,buffer_fips,state_name
"01","(47 13 12 28)",Alabama
"04","(49 08 35 06 32)",Arizona
"02","(29 47 28 22 48 40)",Arkansas
"06","(41 32 04)",California
"08","(56 31 20 40 35 04 49)",Colorado
"09","(24 44 36)",Connecticut
"10","(42 34 24)",Delaware
"11","(24 51)",District of Columbia
"12","(13 01)",Florida
"13","(37 45 12 01 47)",Georgia
"16","(30 56 49 32 41 53)",Idaho
"19","(27 55 17 29 31 46)",Iowa
"17","(55 18 21 29 19)",Illinois
"18","(26 39 21 17)",Indiana
"20","(31 29 40 08)",Kansas
"21","(39 54 51 47 29 17 18)",Kentucky
"22","(02 28 48)",Louisiana
"23","(33)",Maine
"24","(42 10 11 51 54)",Maryland
"25","(33 44 09 36 50)",Massachusetts
"26","(39 18 55)",Michigan
"27","(55 19 38 46)",Minnesota
"28","(47 01 22 02)",Mississippi
"29","(19 17 21 47 05 40 20 31)",Missouri
"29","(46 38 56 16)",Montana
"31","(46 19 29 20 08 56)",Nebraska
"33","(25 23 50)",New Hampshire
"34","(36 10 42)",New Jersey
"35","(08 40 48 04 49)",New Mexico
"36","(50 25 09 34 42)",New York
"32","(16 49 04 06 41)",Nevada
"37","(51 45 13 47)",North Carolina
"38","(46 29 27)",North Dakota
"39","(42 54 21 18 26)",Ohio
"40","(20 29 02 48 35 08)",Oklahoma
"41","(53 16 32 06)",Oregon
"42","(34 36 24 10 54 39)",Pennsylvania
"44","(25 09)",Rhode Island
"45","(37 13)",South Carolina
"46","(38 27 19 31 56 30)",South Dakota
"47","(21 51 37 13 01 28 02 29)",Tennessee
"48","(40 02 22 35)",Texas
"49","(16 56 08 35 04 32)",Utah
"50","(33 25 36)",Vermont
"51","(24 11 37 47 21 54)",Virginia
"53","(16 41)",Washington
"54","(42 24 51 21 39)",West Virginia
"55","(26 17 19 27)",Wisconsin
"56","(29 46 31 08 49 16)",Wyoming